年齢を教えてください,"18-25歳,26-35歳,36-45歳,46歳以上","10,8,6,4","論文タイトル: ""Age and male fertility"""
BMIを計算してください（体重kg / (身長m x 身長m)）,"18.5以下（低体重）,18.5～25未満（普通体重）,25～30未満（肥満：1度）,30～35未満（肥満：2度）,35～40未満（肥満：3度）,40以上（肥満：3度）","4,9,6,5,4,3","論文タイトル: ""BMI and its effects on male fertility"""
果物や野菜はどのくらい食べていますか？,"毎日5回以上,毎日3-4回,週に数回,ほとんど摂取していない","10,8,5,1","論文タイトル: ""Nutritional habits and sperm quality"""
冷凍食品などの加工食品はどのくらい食べていますか？,"ほとんど食べない,週に数回,ほとんど毎日,毎日複数回","10,7,3,0","論文タイトル: ""Impact of processed food consumption on male fertility"""
マグロやイワシ、サンマ、サバなどの魚を食べていますか？,"毎日摂取,週に3回以上,月に数回,ほとんど摂取しない","10,8,4,1","論文タイトル: ""Effect of omega-3 fatty acids on male fertility"""
トマトやホウレンソウ、ピーマン、ブロッコリー、キウイ、柑橘類、イチゴなどを食べていますか？,"日常的に摂取する,週に数回は摂取する,月に数回以下,ほとんど摂取しない","10,7,3,1","論文タイトル: ""Antioxidants and male fertility"""
1週間にどのくらい運動していますか？,"毎日運動する,週に4-6回,週に1-3回,ほとんど運動しない","10,8,5,1","論文タイトル: ""Physical activity and semen quality: A comprehensive review"""
有酸素運動と筋トレのどちらを主にしますか？,"両方をバランスよく行う,主に有酸素運動,主に筋トレ,運動しない","10,8,8,1","論文タイトル: ""Balanced exercise for male fertility: Effects on sperm parameters"""
1日の平均睡眠時間は？,"7-9時間,6-7時間,5-6時間,5時間未満","10,6,3,0","論文タイトル: ""Sleep duration and male fertility: An observational study"""
睡眠の質はどうですか？,"ほとんど中断されない,月に数回中断される,週に数回中断される,毎夜中断される","10,7,3,0","論文タイトル: ""Impact of interrupted sleep on male reproductive health"""
就寝時間は規則的ですか？,"毎夜同じ時間に床に就く,多くの夜は同じ時間,時々一貫性がある,不規則な睡眠スケジュール","10,7,4,1","論文タイトル: ""Regular sleep patterns and male fertility"""
携帯電話を日常的に身につけていますか？,"携帯電話を体から遠ざける、電磁波防護ケースを使用する,日常的には注意するが、完全ではない,たまにしか気にしない,常に体の近くに携帯電話を持っている","10,7,3,0","論文タイトル: ""Mobile phone radiation and its impact on sperm quality"""
どんな下着を使用していますか？,"ルーズな下着を使用する,時々タイトな下着を使用する,主にタイトな下着を使用する,常にタイトな下着を使用する","10,5,3,0","論文タイトル: ""Tight underwear and male fertility"""
日々のストレスはどうですか？,"ほとんど感じない,月に数回感じる,週に数回感じる,毎日感じる","10,7,3,0","論文タイトル: ""Stress levels and their impact on male reproductive hormones"""
リラックスする方法・活動をしていますか？,"毎日行う,週に数回行う,月に数回,全く行わない","10,7,4,0","論文タイトル: ""Relaxation techniques and their effects on male fertility"""
ストレスにうまく対処して生活していますか？,"効果的に管理している,まあまあ管理している,あまり管理できていない,全く管理できていない","10,7,3,0","論文タイトル: ""Stress coping mechanisms and sperm health"""
喫煙していますか？,"全く吸わない,以前は吸っていたがやめた,たまに吸う,定期的に吸う","10,7,2,-2","論文タイトル: ""Smoking and its effects on sperm DNA integrity"""
お酒は飲みますか？,"全く飲まない,月に数回,週に数回,毎日飲む","10,7,3,0","論文タイトル: ""Alcohol intake and its impact on male fertility"""
育毛剤やステロイドを使っていますか？,"使用していない,過去に使用したことがあるが現在は使用していない,たまに使用する,定期的に使用する","10,7,3,0","論文タイトル: ""Impact of medicated products on male fertility"""
長時間座っていますか？,"ほとんど座っていない,1-3時間座る,4-6時間座る,7時間以上座る","10,7,3,0","論文タイトル: ""Sedentary behavior and its effects on semen quality"""
入浴していますか？,"毎日シャワーを浴びる,週に数回浴槽に浸かる,毎日浴槽に浸かる,ほとんど浴槽に浸からない","10,7,3,1","論文タイトル: ""Heat exposure and sperm production"""
サウナを利用していますか？,"週に数回利用する,月に数回利用する,ほとんど利用しない,毎日利用する","1,5,10,1","論文タイトル: ""Sauna use and male fertility"""
甘いものを食べていますか？,"ほとんど摂取しない,月に数回,週に数回,毎日","10,7,4,0","論文タイトル: ""Sugar intake and male reproductive health"""
サイクリングをしていますか？,"サイクリングをしない,週に1-3時間,週に4-6時間,週に7時間以上","10,7,3,0","論文タイトル: ""Cycling frequency and its impact on male fertility"""
どんな職業ですか？,"環境リスクが低い、またはストレスが少ない仕事,重労働または体を動かす仕事,高温環境での作業,化学物質や有害物質に頻繁に触れる仕事","10,7,2,0","論文タイトル: ""Occupational hazards and male fertility"""
高温な作業環境での仕事はありますか？,"高温環境での作業はしない,月に数回高温環境で作業する,週に数回高温環境で作業する,毎日高温環境で作業する","10,7,3,0","論文タイトル: ""High temperature work environments and their effects on male fertility"""